Created user: temp user 2 at 2024-09-06T07:18:41.012Z
Deleted user: temp user 2 at 2024-09-06T07:19:25.897Z
Created user: vishal agg, establishmentId: establishmentId at 2024-09-10T04:55:57.278Z
Logged in user: vishal agg, establishmentId: establishmentId at 2024-09-10T04:56:06.335Z
Logged in user: vishal agg, establishmentId: establishmentId at 2024-09-10T05:01:16.141Z
Logged in user: vishal agg, establishmentId: establishmentId at 2024-09-10T05:01:35.960Z
Logged in user: vishal agg, establishmentId: establishmentId at 2024-09-10T05:03:53.034Z
Logged in user: vishal agg, establishmentId: establishmentId at 2024-09-10T05:04:02.957Z
Created user: admin, establishmentId: establishmentId at 2024-09-10T18:08:24.136Z
Deleted user: vishal, establishmentId: undefined at 2024-10-06T09:08:24.252Z
Deleted user: s, establishmentId: undefined at 2024-10-06T09:53:11.849Z
Deleted user: w, establishmentId: undefined at 2024-10-06T10:01:34.622Z
Deleted user: r, establishmentId: undefined at 2024-10-06T10:01:35.361Z
Deleted user: vishal, establishmentId: undefined at 2024-10-25T15:15:04.255Z
Deleted user: frontend, establishmentId: undefined at 2024-10-25T15:15:05.348Z
Deleted user: va, establishmentId: undefined at 2024-10-25T15:15:08.485Z
Deleted user: va, establishmentId: undefined at 2024-10-25T15:25:12.925Z
Deleted user: admin, establishmentId: undefined at 2024-10-25T15:25:17.909Z
Deleted user: va, establishmentId: undefined at 2024-10-25T18:18:30.891Z
Deleted user: vaa, establishmentId: undefined at 2024-10-25T18:18:40.940Z
Created user: vishal, establishmentId: 1 at 2024-10-29T11:48:30.468Z
Logged in user: vishal, establishmentId: undefined at 2024-10-29T11:50:51.935Z
Logged in user: vishal, establishmentId: undefined at 2024-10-29T11:57:59.355Z
Logged in user: vishal, establishmentId: undefined at 2024-10-29T11:58:40.028Z
Created user: va, establishmentId: 2 at 2024-10-29T12:01:35.483Z
Deleted user: va, establishmentId: 2 at 2024-10-29T12:01:45.783Z
Created user: va, establishmentId: 1 at 2024-10-29T12:01:58.226Z
Created user: vaa, establishmentId: 3 at 2024-10-29T12:02:05.817Z
Deleted user: va, establishmentId: 1 at 2024-10-29T12:02:17.832Z
Created user: va, establishmentId: 1 at 2024-10-29T12:03:44.507Z
Deleted user: vaa, establishmentId: 3 at 2024-10-29T12:18:40.352Z
Deleted user: va, establishmentId: 1 at 2024-10-29T12:18:41.993Z
Logged in user: vishal, establishmentId: undefined at 2024-10-29T12:19:09.486Z
Created user: vaa, establishmentId: 2 at 2024-10-29T12:24:46.287Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T12:32:58.913Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:26:58.472Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:35:19.873Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:37:39.789Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:39:00.826Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:39:11.402Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:39:41.078Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:39:54.973Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:40:10.611Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T14:56:02.043Z
Created user: va, establishmentId: 1 at 2024-10-29T14:58:05.585Z
Logged in user: va, establishmentId: undefined at 2024-10-29T14:58:50.730Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T15:19:03.466Z
Logged in user: va, establishmentId: undefined at 2024-10-29T15:19:53.989Z
Created user: admin, establishmentId: 1 at 2024-10-29T15:29:11.771Z
Logged in user: admin, establishmentId: undefined at 2024-10-29T15:29:15.346Z
Logged in user: admin, establishmentId: undefined at 2024-10-29T15:30:26.168Z
Logged in user: admin, establishmentId: undefined at 2024-10-29T15:30:26.596Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T15:30:46.888Z
Logged in user: admin, establishmentId: undefined at 2024-10-29T15:34:46.653Z
Created user: temp, establishmentId: 1 at 2024-10-29T15:34:58.482Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T15:35:09.361Z
Logged in user: va, establishmentId: undefined at 2024-10-29T15:35:40.270Z
Logged in user: admin, establishmentId: undefined at 2024-10-29T16:21:44.766Z
Logged in user: admin, establishmentId: undefined at 2024-10-29T16:21:44.768Z
Logged in user: admin, establishmentId: undefined at 2024-10-29T16:21:45.056Z
Logged in user: admin, establishmentId: undefined at 2024-10-29T16:21:45.442Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T16:21:53.688Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T16:30:06.952Z
Logged in user: va, establishmentId: undefined at 2024-10-29T16:32:29.297Z
Logged in user: vaa, establishmentId: undefined at 2024-10-29T16:46:59.797Z
